id log2FoldChange
ENSG00000075240 -1.32545364782573
ENSG00000106976 -1.32419016141471
ENSG00000159200 -1.32409109979202
ENSG00000172331 -1.32183289997267
ENSG00000092969 -1.32180274582581
ENSG00000142798 -1.3195651891327
ENSG00000168032 -1.31360811301388
ENSG00000168071 -1.31020413360894
ENSG00000171236 -1.30663323631659
ENSG00000165071 -1.30634149397654
ENSG00000156804 -1.30540063595163
ENSG00000173432 -1.30535273714194
ENSG00000074181 -1.28456264024466
ENSG00000134202 -1.28367601005745
ENSG00000088970 -1.2722986200653
ENSG00000272341 -1.27023010492343
ENSG00000073464 -1.26849634432914
ENSG00000163218 -1.265342982348
ENSG00000135678 -1.26443132139839
ENSG00000128039 -1.26191474472023
ENSG00000197506 -1.25864475194524
ENSG00000261379 -1.2552731798548
ENSG00000197301 -1.25294288251784
ENSG00000162981 -1.24999583456676
ENSG00000089123 -1.24193750942471
ENSG00000101335 -1.24079231566219
ENSG00000169247 -1.22631241479112
ENSG00000248713 -1.22091935112767
ENSG00000196839 -1.21948895634922
ENSG00000128309 -1.21302934794301
ENSG00000089723 -1.21087610470099
ENSG00000176641 -1.20963418872455
ENSG00000146674 -1.20873614051177
ENSG00000197696 -1.20621862801198
ENSG00000174080 -1.2014549218087
ENSG00000157510 -1.1978612421542
ENSG00000107362 -1.19754210722309
ENSG00000230943 -1.19625166233389
ENSG00000165792 -1.19491207594193
ENSG00000257497 -1.18933867056325
ENSG00000257042 -1.17562665000565
ENSG00000089006 -1.16539754659576
ENSG00000184330 -1.16539486705298
ENSG00000030419 -1.15582527076656
ENSG00000187210 -1.15264990400792
ENSG00000134258 -1.14518670216196
ENSG00000155621 -1.1443327837938
ENSG00000057019 -1.13993136192535
ENSG00000167767 -1.13992950348353
ENSG00000087494 -1.13986988947347
ENSG00000122641 -1.13443089499379
ENSG00000197355 -1.13427592795151
ENSG00000163346 -1.13188342625512
ENSG00000259354 -1.12958984711094
ENSG00000141753 -1.12213146593429
ENSG00000089048 -1.12135154807303
ENSG00000146411 -1.11648755796597
ENSG00000111799 -1.11314005476903
ENSG00000109452 -1.10751720925807
ENSG00000180730 -1.10684039051247
ENSG00000140279 -1.09900635084234
ENSG00000115414 -1.09595866110122
ENSG00000064300 -1.09565176557498
ENSG00000140403 -1.09430553315977
ENSG00000130600 -1.09411251756769
ENSG00000178363 -1.09403621073981
ENSG00000115919 -1.09316212456807
ENSG00000121858 -1.08943221582726
ENSG00000205403 -1.08276420162814
ENSG00000049192 -1.08250143394601
ENSG00000188153 -1.07112110956341
ENSG00000260916 -1.07015767062257
ENSG00000089177 -1.0693974788191
ENSG00000139174 -1.06564112564975
ENSG00000181885 -1.06384414537701
ENSG00000148019 -1.06086693750361
ENSG00000041982 -1.05151023068175
ENSG00000135069 -1.05124563138073
ENSG00000073417 -1.0499036331372
ENSG00000206530 -1.04953032559681
ENSG00000146409 -1.04804554375143
ENSG00000134363 -1.04599559536255
ENSG00000198938 -1.04558041208107
ENSG00000171159 -1.04083231871205
ENSG00000140519 -1.03943919967778
ENSG00000135842 -1.03484704639836
ENSG00000131620 -1.03249653274173
ENSG00000196700 -1.0323637901962
ENSG00000088930 -1.03119856809456
ENSG00000183742 -1.0289116442456
ENSG00000128602 -1.0286940386041
ENSG00000101310 -1.02394050863347
ENSG00000089050 -1.01883219608752
ENSG00000103811 -1.01846222286985
ENSG00000106829 -1.01598988573928
ENSG00000165757 -1.01590368521699
ENSG00000079931 -1.01013045321051
ENSG00000100823 -1.00935191201812
ENSG00000188647 -1.00881270929162
ENSG00000004660 -1.00768317841202
ENSG00000224116 -1.00666683808053
ENSG00000197442 -1.00543284544969
ENSG00000183111 -1.00441881271989
ENSG00000118855 -1.00424444777371
ENSG00000157214 -1.00147244845084
